허가일자,상호,설비용량(KW),설치행정시,설치지역,원동력종류,사업개시일,구분,데이터기준일자
2014.11.12,서현에너지,99,서귀포시,대정읍,태양광,2015.7.2,없음,2020.1.20
2013.7.11,서회천마을회 태양광발전소,466.56,제주시,회천동,태양광,2014.7.18,없음,2020.1.20
2015.10.20,서회천마을회2호 태양광발전소,62.1,제주시,회천동,태양광,2016.3.4,없음,2020.1.20
2014.12.9,선 태양광발전소,98,제주시,한림읍,태양광,2015.8.7,없음,2020.1.20
2014.11.12,선영에너지,99,서귀포시,대정읍,태양광,2015.7.2,없음,2020.1.20
2014.12.4,선영태양광발전소,97.5,제주시,한경면,태양광,2017.8.2,없음,2020.1.20
2017.12.4,선우태양광발전소,250.24,제주시,한경면,태양광,2019.2.27,육상,2020.1.20
2014.10.2,선태양광발전소,99,제주시,구좌읍,태양광,2015.7.1,없음,2020.1.20
2014.12.4,섭지코지 태양광발전소,97.5,서귀포시,성산읍,태양광,2015.5.31,없음,2020.1.20
2016.8.18,성보태양광,483.12,서귀포시,중문동,태양광,2017.5.12,없음,2020.1.20
2014.11.20,성산명진 태양광발전소,70,서귀포시,성산읍,태양광,2018.12.31,없음,2020.1.20
2008.2.28,성산풍력 1단계,12000,서귀포시,성산읍,풍력,2009.3.30,없음,2020.1.20
2010.1.7,성산풍력 2단계,8000,서귀포시,성산읍,풍력,2010.11.12,없음,2020.1.20
2012.8.17,성산하수처리장 태양광발전소,158.08,서귀포시,성산읍,태양광,2013.7.25,없음,2020.1.20
2015.9.8,성수1태양광발전소,99,서귀포시,성산읍,태양광,2016.1.22,없음,2020.1.20
2014.12.4,성애태양광발전소,97.5,제주시,한경면,태양광,2017.9.5,없음,2020.1.20
2018.2.28,성요셉태양광발전소,199.2,제주시,한경면,태양광,2019.3.1,육상,2020.1.20
2014.12.4,성자태양광발전소,97.5,제주시,한경면,태양광,2017.9.5,없음,2020.1.20
2014.3.4,성진 태양광발전소,99.12,서귀포시,대정읍,태양광,2014.9.3,없음,2020.1.20
